tibero_ori_table,tibero_encrypt_table,column
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,SEQNO
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,FUNDTYPE
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,APNO
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,CHKVERSION
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,CHECKYYMM
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,PAYYM
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,PORCSTAT
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,CHGTYPE
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,PROCDE
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,IDN
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,EBDTE
STG_TA_TABLEA,TA_TABLEA_ENCRYPT,ENAME
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,UBNO
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,MONTH
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,MLSEQ
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,VERNO
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,IDN_11
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,ACNO
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,RTAMT
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,AMT_VU
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,BILLKIND
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,PUBSCD
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,TXCD_L
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,EFDTE_L
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,WAGE_PL
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,RATE_L
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,IDTYPE
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,NAME
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,BIRTHDT
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,UBNOCK
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,JMARK
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,DEPT
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,SPACE6
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,PIID
STG_TB_TABLEB,TB_TABLEB_ENCRYPT,FMK
